as_of_date,distance_to_cascade,regime_flag,early_warning_score,early_warning_level,warning_basis,alert_uses_quant_platform_panel,stress_confidence,input_quality_score,methodology_version
2025-06-06,0.1,MARGIN_BUILDUP,23.42387499503009,GREEN,"leverage_crowding,market_damage,liquidity_stress",True,0.6723509569924299,0.6723509569924299,abm_refactor_v4_early_warning
2025-06-13,0.1,STRESS_RISING,26.33557855408159,GREEN,"leverage_crowding,market_damage,liquidity_stress",True,0.6713277604297823,0.6713277604297823,abm_refactor_v4_early_warning
2025-06-20,0.1,MARGIN_BUILDUP,10.42324871038103,GREEN,"leverage_crowding,liquidity_stress,cascade_vulnerability",True,0.6624124178071666,0.6624124178071666,abm_refactor_v4_early_warning
2025-06-27,0.1,STRESS_RISING,22.84740457511847,GREEN,"endogenous_loss,panic_amplification,leverage_crowding",True,0.6656762640893429,0.6656762640893429,abm_refactor_v4_early_warning
2025-07-04,0.1,MARGIN_BUILDUP,5.462601421361176,GREEN,"leverage_crowding,liquidity_stress",True,0.6706968372299713,0.6706968372299713,abm_refactor_v4_early_warning
2025-07-11,0.1,MARGIN_BUILDUP,5.41786567047002,GREEN,"leverage_crowding,liquidity_stress",True,0.6688139187329991,0.6688139187329991,abm_refactor_v4_early_warning
2025-07-18,0.1,MARGIN_BUILDUP,5.707425719552731,GREEN,"leverage_crowding,liquidity_stress",True,0.6813941724173245,0.6813941724173245,abm_refactor_v4_early_warning
2025-07-25,0.1,MARGIN_BUILDUP,7.230624437201564,GREEN,"leverage_crowding,margin_pressure,liquidity_stress",True,0.6700523863831007,0.6700523863831007,abm_refactor_v4_early_warning
2025-08-01,0.1,STRESS_RISING,20.97689847095853,GREEN,"leverage_crowding,trigger_pressure,margin_pressure",True,0.6827643047996044,0.6827643047996044,abm_refactor_v4_early_warning
2025-08-08,0.1,MARGIN_BUILDUP,22.79440873029541,GREEN,"market_damage,leverage_crowding,liquidity_stress",True,0.6684924763810504,0.6684924763810504,abm_refactor_v4_early_warning
2025-08-15,0.1,STRESS_RISING,36.43305264882275,GREEN,"market_damage,trigger_pressure,liquidity_stress",True,0.6691241009329952,0.6691241009329952,abm_refactor_v4_early_warning
2025-08-22,0.1,STRESS_RISING,47.444396161698535,YELLOW,"market_damage,trigger_pressure,margin_pressure",True,0.6697749554169903,0.6697749554169903,abm_refactor_v4_early_warning
2025-08-29,0.1,MARGIN_BUILDUP,17.683380166611055,GREEN,"market_damage,leverage_crowding,liquidity_stress",True,0.6751250926820653,0.6751250926820653,abm_refactor_v4_early_warning
2025-09-05,0.1,STRESS_RISING,35.33230937943653,GREEN,"trigger_pressure,market_damage,cascade_vulnerability",True,0.674914946121155,0.674914946121155,abm_refactor_v4_early_warning
2025-09-12,0.1,MARGIN_BUILDUP,5.617785245131526,GREEN,"leverage_crowding,liquidity_stress",True,0.6890369751641956,0.6890369751641956,abm_refactor_v4_early_warning
2025-09-19,0.1,STRESS_RISING,18.43885954755646,GREEN,"leverage_crowding,liquidity_stress,trigger_pressure",True,0.6833020130836988,0.6833020130836988,abm_refactor_v4_early_warning
2025-09-26,0.1,STRESS_RISING,25.22633319027809,GREEN,"simulated_loss,endogenous_loss,leverage_crowding",True,0.6797657310723498,0.6797657310723498,abm_refactor_v4_early_warning
2025-10-03,0.1,STRESS_RISING,45.0,YELLOW,"latent_fragility_watch,leverage_crowding,market_damage",True,0.6725257753351345,0.6725257753351345,abm_refactor_v4_early_warning
2025-10-10,0.1,MARGIN_BUILDUP,15.888013321320551,GREEN,"global_risk,leverage_crowding,simulated_loss",True,0.6775663610840357,0.6775663610840357,abm_refactor_v4_early_warning
2025-10-17,0.1,STRESS_RISING,45.0,YELLOW,"latent_fragility_watch,leverage_crowding,trigger_pressure",True,0.6795518008366885,0.6795518008366885,abm_refactor_v4_early_warning
2025-10-24,0.1,STRESS_RISING,37.40572161822085,GREEN,"endogenous_loss,leverage_crowding,panic_amplification",True,0.6712461241841803,0.6712461241841803,abm_refactor_v4_early_warning
2025-10-31,0.1,STRESS_RISING,45.0,YELLOW,"latent_fragility_watch,leverage_crowding,market_damage",True,0.6690598868634808,0.6690598868634808,abm_refactor_v4_early_warning
2025-11-07,0.1,STRESS_RISING,65.19641728041809,ORANGE,"simulated_loss,endogenous_loss,latent_fragility_watch",True,0.6397039704789884,0.6397039704789884,abm_refactor_v4_early_warning
2025-11-14,0.1,STRESS_RISING,22.066995495057213,GREEN,"leverage_crowding,endogenous_loss,panic_amplification",True,0.6488846313182859,0.6488846313182859,abm_refactor_v4_early_warning
2025-11-21,0.1,STRESS_RISING,25.640289197423407,GREEN,"leverage_crowding,global_risk,endogenous_loss",True,0.636612698619098,0.636612698619098,abm_refactor_v4_early_warning
2025-11-28,0.1,MARGIN_BUILDUP,15.403216346146015,GREEN,"leverage_crowding,liquidity_stress,market_damage",True,0.6332466730956534,0.6332466730956534,abm_refactor_v4_early_warning
2025-12-05,0.1,STRESS_RISING,18.647783040996128,GREEN,"leverage_crowding,market_damage,liquidity_stress",True,0.6268048048289515,0.6268048048289515,abm_refactor_v4_early_warning
2025-12-12,0.1,STRESS_RISING,59.31289850685949,YELLOW,"market_damage,trigger_pressure,margin_pressure",True,0.6249545549632582,0.6249545549632582,abm_refactor_v4_early_warning
2025-12-19,0.1,MARGIN_BUILDUP,11.018523904775307,GREEN,"leverage_crowding,liquidity_stress,cascade_vulnerability",True,0.6360285601901331,0.6360285601901331,abm_refactor_v4_early_warning
2025-12-26,0.1,STRESS_RISING,23.248092716500523,GREEN,"margin_pressure,leverage_crowding,cascade_vulnerability",True,0.622176696644519,0.622176696644519,abm_refactor_v4_early_warning
2025-12-31,0.1,MARGIN_BUILDUP,20.32560958780396,GREEN,"leverage_crowding,margin_call_breadth,liquidity_stress",True,0.62311644648548,0.62311644648548,abm_refactor_v4_early_warning
2026-01-09,0.1,STRESS_RISING,46.92739322018514,YELLOW,"leverage_crowding,margin_pressure,margin_call_breadth",True,0.6144053467876477,0.6144053467876477,abm_refactor_v4_early_warning
2026-01-16,0.1,MARGIN_BUILDUP,16.71315934273096,GREEN,"leverage_crowding,margin_call_breadth,cascade_vulnerability",True,0.6305559538447484,0.6305559538447484,abm_refactor_v4_early_warning
2026-01-23,0.1,STRESS_RISING,45.0,YELLOW,"leverage_crowding,margin_call_breadth,latent_fragility_watch",True,0.6328132441795422,0.6328132441795422,abm_refactor_v4_early_warning
2026-01-30,0.05,STRESS_RISING,45.0,YELLOW,"leverage_crowding,margin_call_breadth,cascade_distance_watch",True,0.6245329647338926,0.6245329647338926,abm_refactor_v4_early_warning
2026-02-06,0.03,CASCADE_RISK,86.32970795834075,RED,"market_damage,simulated_loss,distance_to_cascade",True,0.6201540060198352,0.6201540060198352,abm_refactor_v4_early_warning
2026-02-13,0.07,MARGIN_BUILDUP,21.25457700187157,GREEN,"leverage_crowding,margin_call_breadth,distance_to_cascade",True,0.6201875872470962,0.6201875872470962,abm_refactor_v4_early_warning
2026-02-27,0.04,CASCADE_RISK,45.0,YELLOW,"leverage_crowding,margin_call_breadth,cascade_distance_watch",True,0.6182872695167783,0.6182872695167783,abm_refactor_v4_early_warning
2026-03-06,0.04,CASCADE_RISK,68.71965050230548,ORANGE,"trigger_pressure,leverage_crowding,margin_call_breadth",True,0.6402099011897822,0.6402099011897822,abm_refactor_v4_early_warning
2026-03-13,0.04,CASCADE_RISK,54.339187009280366,YELLOW,"leverage_crowding,margin_call_breadth,latent_fragility_watch",True,0.6547190347218044,0.6547190347218044,abm_refactor_v4_early_warning
2026-03-20,0.04,CASCADE_RISK,72.74016720820636,ORANGE,"market_damage,leverage_crowding,endogenous_loss",True,0.6564844418398,0.6564844418398,abm_refactor_v4_early_warning
2026-03-27,0.04,CASCADE_RISK,52.12844512432751,YELLOW,"leverage_crowding,margin_call_breadth,cascade_distance_watch",True,0.6576522122517565,0.6576522122517565,abm_refactor_v4_early_warning
2026-04-03,0.04,CASCADE_RISK,46.5665645295452,YELLOW,"margin_call_breadth,cascade_distance_watch,endogenous_loss",True,0.6713580534596716,0.6713580534596716,abm_refactor_v4_early_warning
2026-04-10,0.05,STRESS_RISING,45.0,YELLOW,"margin_call_breadth,cascade_distance_watch,leverage_crowding",True,0.6811113824484208,0.6811113824484208,abm_refactor_v4_early_warning
2026-04-17,0.05,STRESS_RISING,45.0,YELLOW,"margin_call_breadth,cascade_distance_watch,leverage_crowding",True,0.6765759527971389,0.6765759527971389,abm_refactor_v4_early_warning
2026-04-24,0.05,STRESS_RISING,45.0,YELLOW,"margin_call_breadth,cascade_distance_watch,leverage_crowding",True,0.6772672054720448,0.6772672054720448,abm_refactor_v4_early_warning
2026-04-29,0.05,STRESS_RISING,45.0,YELLOW,"margin_call_breadth,cascade_distance_watch,leverage_crowding",True,0.6763630406754553,0.6763630406754553,abm_refactor_v4_early_warning
2026-05-08,0.07,MARGIN_BUILDUP,22.00963290212032,GREEN,"margin_call_breadth,leverage_crowding,distance_to_cascade",True,0.6845855910369616,0.6845855910369616,abm_refactor_v4_early_warning
2026-05-15,0.05,STRESS_RISING,45.0,YELLOW,"margin_call_breadth,cascade_distance_watch,leverage_crowding",True,0.6855826422662025,0.6855826422662025,abm_refactor_v4_early_warning
2026-05-22,0.04,STRESS_RISING,45.0,YELLOW,"margin_call_breadth,cascade_distance_watch,distance_to_cascade",True,0.6956357467035774,0.6956357467035774,abm_refactor_v4_early_warning
2026-05-29,0.05,CASCADE_RISK,45.0,YELLOW,"liquidity_stress,margin_call_breadth,cascade_distance_watch",True,0.6850711499056173,0.6850711499056173,abm_refactor_v4_early_warning
2026-06-05,0.03,POST_SHOCK_STRESS,62.109933652771765,ORANGE,"panic_amplification,distance_to_cascade,liquidity_stress",True,0.6867330886601717,0.6867330886601717,abm_refactor_v4_early_warning
2026-06-12,0.1,STRESS_RISING,45.0,YELLOW,"liquidity_stress,margin_call_breadth,latent_fragility_watch",True,0.6726705582394402,0.6726705582394402,abm_refactor_v4_early_warning
2026-06-16,0.05,LEVERAGE_STRESS,,,,,0.6326390436239748,0.6326390436239748,abm_refactor_v3_latent_margin
2026-06-19,0.1,STRESS_RISING,20.64401685035601,GREEN,"margin_call_breadth,leverage_crowding,market_damage",True,0.6820288023133092,0.6820288023133092,abm_refactor_v4_early_warning
2026-06-23,0.1,MARGIN_BUILDUP,20.7498964911786,GREEN,"margin_call_breadth,leverage_crowding,cascade_vulnerability",True,0.6739590715214061,0.6739590715214061,abm_refactor_v4_early_warning
2026-06-25,0.05,STRESS_RISING,45.0,YELLOW,"margin_call_breadth,cascade_distance_watch,leverage_crowding",True,0.6682078806503637,0.6682078806503637,abm_refactor_v4_early_warning
2026-06-26,0.1,MARGIN_BUILDUP,11.85011149444404,GREEN,"margin_call_breadth,leverage_crowding",True,0.6821549537427067,0.6821549537427067,abm_refactor_v4_early_warning
2026-06-30,0.07,STRESS_RISING,20.699792063798075,GREEN,"liquidity_stress,leverage_crowding,distance_to_cascade",True,0.6713689776954649,0.6713689776954649,abm_refactor_v4_early_warning
2026-07-06,0.07,STRESS_RISING,22.01275664707194,GREEN,"margin_call_breadth,leverage_crowding,liquidity_stress",True,0.6788835747117156,0.6788835747117156,abm_refactor_v4_early_warning
2026-07-08,0.1,MARGIN_BUILDUP,10.249798423425682,GREEN,"margin_call_breadth,leverage_crowding",True,0.6786323043621061,0.6786323043621061,abm_refactor_v4_early_warning
2026-07-09,0.1,MARGIN_BUILDUP,12.468128839637298,GREEN,"margin_call_breadth,leverage_crowding,cascade_vulnerability",True,0.6808154821482684,0.6808154821482684,abm_refactor_v4_early_warning
2026-07-10,0.07,STRESS_RISING,45.0,YELLOW,"liquidity_stress,latent_fragility_watch,leverage_crowding",True,0.6694169083647202,0.6694169083647202,abm_refactor_v4_early_warning
2026-07-16,0.07,STRESS_RISING,45.0,YELLOW,"liquidity_stress,latent_fragility_watch,leverage_crowding",True,0.6566546976581005,0.6566546976581005,abm_refactor_v4_early_warning
2026-07-17,0.07,STRESS_RISING,27.744518929730145,GREEN,"margin_call_breadth,leverage_crowding,liquidity_stress",True,0.6708701014257524,0.6708701014257524,abm_refactor_v4_early_warning
2026-07-21,0.04,POST_SHOCK_STRESS,65.04388919630438,ORANGE,"market_damage,panic_amplification,liquidity_stress",True,0.6425471568926152,0.6425471568926152,abm_refactor_v4_early_warning
2026-07-22,0.04,STRESS_RISING,45.0,YELLOW,"margin_call_breadth,cascade_distance_watch,market_damage",True,0.6486793402602422,0.6486793402602422,abm_refactor_v4_early_warning
2026-07-23,0.1,STRESS_RISING,30.545009946423423,GREEN,"market_damage,margin_call_breadth,leverage_crowding",True,0.648262360271352,0.648262360271352,abm_refactor_v4_early_warning
