ddmmyyyy,score,regime,source,provider,stress_regime,capitulation_phase,sessions_after_three_gate_climax,capitulation_action_eligible
18062026,13,CRISIS / PRE-CRASH,auto,deepseek-v4-pro,,,,
20062026,24,PRE-CRASH / PANIC,manual,deepseek-v4-pro,,,,
21062026,24,PRE-CRASH / PANIC,manual,deepseek-v4-pro,,,,
22062026,27,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
23062026,20,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
24062026,28,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
25062026,29,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
26062026,29,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
<<<<<<< HEAD,,,,,,,,
27062026,29,PRE-CRASH / PANIC,manual,deepseek-v4-pro,,,,
=======,,,,,,,,
29062026,29,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
>>>>>>> 1ea82497b363292b22c93a8292b97bcdd73fa5e5,,,,,,,,
30062026,29,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
02072026,31,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,,,,
03072026,31,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,,,,
06072026,31,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,,,,
07072026,31,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,,,,
08072026,31,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,,,,
09072026,34,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,,,,
10072026,27,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
13072026,27,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
14072026,27,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
15072026,30,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,,,,
16072026,28,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
17072026,28,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
20072026,28,PRE-CRASH / PANIC,auto,deepseek-v4-pro,,,,
21072026,21,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
22072026,21,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
24072026,24,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
25072026,24,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
27072026,25,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
28072026,25,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
29072026,25,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
30072026,25,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
31072026,25,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
03082026,29,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,REPAIR,,false
04082026,29,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,REPAIR,,false
05082026,28,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
06082026,28,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
07082026,28,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,REPAIR,,false
10082026,31,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,FEAR / DISTRIBUTION,REPAIR,,false
11082026,35,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,FEAR / DISTRIBUTION,REPAIR,,false
12082026,35,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,FEAR / DISTRIBUTION,REPAIR,,false
13082026,31,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,FEAR / DISTRIBUTION,FRAGILE,,false
19082026,28,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
20082026,28,PRE-CRASH / PANIC,auto,deepseek-v4-pro,PRE-CRASH / PANIC,FRAGILE,,false
21082026,36,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,FEAR / DISTRIBUTION,REPAIR,,false
24082026,36,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,FEAR / DISTRIBUTION,REPAIR,,false
25082026,31,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,FEAR / DISTRIBUTION,REPAIR,,false
26082026,32,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,FEAR / DISTRIBUTION,REPAIR,,false
31082026,32,FEAR / DISTRIBUTION,auto,deepseek-v4-pro,FEAR / DISTRIBUTION,REPAIR,,false
